,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(prop),Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(prop),Final U/Th_mean,Approx_U_PPM_mean,Approx_Th_PPM_mean,Approx_Pb_PPM_mean,,Si29_ppm_mean,Si29_ppm_2SE(int),Ti49_ppm_mean,Ti49_ppm_2SE(int),Zr90_ppm_mean,Zr90_ppm_2SE(int),Zr91_ppm_mean,Zr91_ppm_2SE(int),La139_ppm_mean,La139_ppm_2SE(int),Ce140_ppm_mean,Ce140_ppm_2SE(int),Pr141_ppm_mean,Pr141_ppm_2SE(int),Nd146_ppm_mean,Nd146_ppm_2SE(int),Sm147_ppm_mean,Sm147_ppm_2SE(int),Eu153_ppm_mean,Eu153_ppm_2SE(int),Gd157_ppm_mean,Gd157_ppm_2SE(int),Dy163_ppm_mean,Dy163_ppm_2SE(int),Yb172_ppm_mean,Yb172_ppm_2SE(int),Lu175_ppm_mean,Lu175_ppm_2SE(int),Pb204_ppm_mean,Pb204_ppm_2SE(int),Pb206_ppm_mean,Pb206_ppm_2SE(int),Pb207_ppm_mean,Pb207_ppm_2SE(int),Pb208_ppm_mean,Pb208_ppm_2SE(int),Th232_ppm_mean,Th232_ppm_2SE(int),U238_ppm_mean,U238_ppm_2SE(int)
093 - 29.d,0.112896441,0.001193465,1844.382971,19.15650047,3.869331222,0.047855862,12.40626031,1161.67736,92.59374789,527.134347,,0,0,8,3,480000,0,476823,2558,0,0,1,0,0,0,0,0,0,0,0,0,2,1,17,2,90,3,21,1,74,58,301,3,569,9,672,30,102,2,1274,20
093 - 30.d,0.110535107,0.00174417,1805.698968,28.44457005,4.04235042,0.0846256,12.91733292,676.5439957,52.29460892,291.0047483,,0,0,12,7,480000,0,479497,2964,0,0,1,0,0,0,0,0,0,0,0,0,1,1,11,2,113,9,29,3,-23,42,198,6,368,13,419,38,66,4,854,41
093 - 31.d,0.068866255,0.001843313,883.5033426,53.44894524,11.30826255,0.131131734,6.408404608,3520.989752,540.6242744,1834.902474,,0,0,17,4,480000,0,477660,2132,0,0,8,1,1,0,8,2,4,1,1,0,13,2,37,3,128,7,27,2,329,103,334,11,383,20,2529,302,650,17,4173,118
093 - 32.d,0.05828024,0.000782259,536.3510307,29.42276292,10.96870515,0.114391141,5.187993164,2701.743439,509.4397897,1134.880678,,0,0,28,6,480000,0,477734,2836,0,0,2,0,0,0,1,0,1,1,0,0,8,1,37,3,141,6,28,1,39,41,256,2,250,4,1492,46,591,8,3071,47
093 - 33.d,0.057921393,0.000851591,522.2039321,32.39519257,11.33838414,0.157258058,5.971282034,2094.725015,344.7364117,769.4853143,,0,0,13,4,480000,0,478372,2346,0,0,2,0,0,0,0,0,2,1,0,0,7,1,33,3,122,6,25,1,20,37,186,3,181,4,908,35,384,8,2295,57
093 - 34.d,0.115142608,0.000906297,1880.565846,14.09844469,3.588212955,0.057986845,10.43516052,1462.269254,138.6985951,873.4018705,,0,0,15,5,480000,0,476853,2358,3,0,28,5,5,1,22,4,7,2,0,0,13,2,24,2,96,5,23,1,35,50,411,5,798,12,1044,34,155,4,1611,28
093 - 35.d,0.189461782,0.012392416,2688.397684,112.9254658,5.331994263,0.275586064,6.96395357,4860.064536,680.0289531,36380.39324,,0,0,75,12,480000,0,475103,3456,3,0,84,8,17,2,113,16,67,10,20,2,142,19,333,38,727,41,134,7,12768,2413,1235,70,4085,467,51474,8412,1011,28,7048,162
093 - 36.d,0.057087886,0.000937387,490.1887165,36.70572961,11.59796038,0.276593422,4.821239344,1630.189335,330.1089055,737.2235443,,0,0,16,6,480000,0,476190,2814,0,0,2,0,0,0,1,0,1,1,0,0,11,1,51,3,166,7,32,1,46,54,157,7,151,7,916,60,405,10,1940,65
093 - 37.d,0.090480005,0.001852862,1432.264921,38.08863174,7.260178473,0.164676687,12.3620302,1200.353893,95.73497752,560.1154636,,0,0,6,5,480000,0,478937,4134,0,0,12,1,2,1,17,4,9,3,1,0,12,3,35,4,308,9,84,3,81,86,240,5,365,10,896,96,149,5,1841,26
093 - 38.d,0.058389706,0.000544269,541.9834368,20.56574372,11.33133888,0.062031297,5.651147331,4860.142523,846.5247662,2093.76247,,0,0,13,4,480000,0,475171,2719,0,0,2,0,0,0,1,0,2,1,0,0,11,2,48,3,165,5,34,1,79,48,443,6,436,8,2446,50,970,8,5493,33
093 - 39.d,0.05827836,0.000892919,535.3862274,33.5188718,11.07746122,0.097282441,6.097415876,2403.315235,388.9675483,1061.272814,,0,0,13,4,480000,0,474526,2346,0,0,2,0,0,0,2,1,2,1,0,0,8,2,31,3,106,4,22,1,-2,40,219,3,215,4,1206,50,436,6,2663,42
093 - 40.d,0.058422057,0.000586842,542.9798462,21.96379775,11.42436679,0.09332709,5.889990825,4452.588584,745.09484,1887.970372,,0,0,11,5,480000,0,478578,2945,0,0,2,0,0,0,1,0,1,1,0,0,7,1,40,2,146,6,30,1,47,55,418,18,411,18,2238,115,884,37,5204,186
093 - 41.d,0.093605344,0.001402183,1498.52437,28.10352137,6.497117738,0.082042563,6.461998797,2304.67221,351.7405091,1391.206454,,0,0,11,6,480000,0,479779,3535,0,0,3,1,0,0,1,1,2,1,0,0,6,2,32,3,182,11,41,3,-2,77,430,21,679,35,1776,147,460,8,2989,34
